System,Disease (Outcome),Causes (4),Risk factors (5),Clinical features (1),Progression (6),Diagnosis (2),Treatment (3),10m,5m,3m,Net
Hematology,Fe deficiency anemia,Increased blood loss & Requirement (Pregnancy & lactation ; Infancy & childhood) ; Decreased dietary intake (Anorexia & socio economic status) & Absorbtion (Gastric bypass),,Anemia (Pallor ; Fatigue ; Palpitations ; Dyspnea) ; Glossitis ; Pica ; Cheliosis ; Koilonychia,MR & High output heart failure,Labs (Decreased RBC ; Hb & red cell indices ; Fe ; TIBC & Transferrin) ; Peripheral blood smear (Microcytic hypochromic anemia),Fe supplements (Oral/IV) & Blood transfusion,,,,
Hematology,Sideroblastic anemia,Defective mitochondrial function & heme synthesis,,Hepato spleno megaly & Cardiac arrythmias ,Infections ; ALL ; Hemo chromatosis,Labs (Decreased RBC indices) ; Peripheral blood smear (Macro/ Microcytic anemia ; An isocytosis ; Poikilo cytosis ; Pappen heimer bodies),Meds (B6 & B9 supplements ; Fe chelators),,,,
Hematology,Anemia of chronic diseases,Systemic inflammation,Age,Hypoxia ; Pallor ; Fatigue ; Dyspnea ; Cardiorespiratory compromise,Peripheral blood smear (Normocytic normo chromic ; Increased WBC) ; Labs (Elevated ESR) ; Normal blood cell indices ,Meds (Fe supplements ; EPO) & Blood transfusion,,,,,
Hematology,Megalo blastic anemia,B9 (Malabsrobtion ; Inadequate dietary intake  ; Demand) & B12 (Strict veggies ; Gastric bypass & diseases),,Jaundice ; Spleno megaly & Neuropathy ,,RBC indices (Normal MCHC) ; PBS (Hypersegmented neutrophils ; Anisocytosis ; Poikilocytosis ; Decreased WBC) ; Labs (Increased bile pigments ; LDH ; Homocysteine/Methylmalonate & Decreased haptoglobin),B9 & B12 supplementation,,,,
Hematology,Pernicious anemia,Auto antibodies against CIF,Disease states (Autoimmune diseases),B12 deficiency symptoms,,Blood tests (CIF & B12 levels),B12 supple mentation,,,,
Hematology,Autoimmune hemolytic anemia,Auto antibodies against RBC ; Warm (Extra vascular hemolysis & IgG-C3 association) ; Cold (Intra vascular hemolysis ; IgM-C3 association),Weather ; Drugs (Alpha-Methyl DOPA & Quinidine) ; Infections ; Malignancy,Jaundice ; Renal failure ; Back & leg pain ; Raynaud phenomenon,,Labs (Increased LDH ; CB & Decreased Haptoglobin) ; PBS (Spherocytosis) ; Serology (Antibody testing) ; RBC indices (Increased MCV & Decreased PCV),Meds (Cortico steroids ; Rituximab ; Fludarabine ; Immuno suppres sants) & Surgery ,,,,
Hematology,PNH (Paroxysmal nocturnal hemoglobin uria),PIGA mutation ? GPI decreased/Absent ; Decreased CD55 & CD59? Decreased DAFR,Infections ; Surgery ; Blood transfusions ; heavy exercise,“Dark urine in the morning” ; Thrombosis ; Hemolysis,,PBS (Normocytic normochromic anemia ; Poikilocytosis ; Anisocytosis) ; Labs (Increased Bilirubin ; LDH & Decreased Haptoglobin) ; Serology  (Coombs +),Meds (Eculizumab ; Anticoagulants ; Thrombolytics ; Fe ; B9 & Immunosuppressants) ; Surgery & Blood transfusion,,,,
Hematology,Hereditary sphero cytosis,Gene mutations ? Extra vascular hemolysis ; AD,Common in Northern europeans,Jaundice ; Spleno megaly ; Anemia ,Megalo blastic anemia,RBC indices (Decreased/Increased MCV ; Increased MCHC) ; Labs (Increased hemolytic markers) ; PBS (Sphero cytes),Surgery ; Phototherapy ; B9 supplementation & transfusion,,,,
Hematology,G6PD deficiency,XR ; ROS production ; Fava benas ingestion ; Infections ; Drugs (Anti-TB drugs ; Sulphonamides),African-American descent,Asympto matic ;  Fever ; Hemolysis,,PBS (Heinz bodies ; Bite cells ; Reticulocytosis) ; Increased hemolytic enzymes ; G6PD assay,Meds (B9 supplements) ; Eliminate triggers,,,,
Hematology,PK deficiency,ATP deficiency & Ineffective erythro poiesis,African-American descent,Anemia ; Jaundice ; Spleno megaly,Megalo blastic anemia ; Cholestasis,Labs (Increased hemolytic enzymes & 2;3 BPG) ; PBS (Reticulocytosis),Surgery ; Transfusions; Supplements,,,,
Hematology,Sickle cell anemia,HbA? HbS ; Glu? Val (Beta-6),,Anemia ; Hyper splenism ; Vasocclusion,Systemic complications,PBS (Increased WBC ; Reticulocytosis ; Howell-Jolly bodies) ; Labs (Increased hemolytic enzymes) ; Electrophoresis,Meds (Hydroxyurea ; Penicillin prophylaxis ; Glutamate ; NSAID’s) ;Surgery & Transfusions,,,,
Hematology,Thalassemia,AR ; Alpha (11) & Beta (16) ,,Chronic hemolysis ; Anemia ; Cardiac manifestations (Hypotension ; Arrythmias),Extramedullary hematopoiesis & Visceral Fe overload,PBS (Schistocytes; Target cells & Microcytosis) ; RBC indices (Increased MCHC & Decreased MCV),Meds ; Surgery & Transfusion,,,,
Hematology,Aplastic anemia,Inherited (Fanconi & Diamond-Blackfan anemia ? PVB19 infection) & Acquired (Autoimmune diseases ; Drugs ; Infections),,Pancytopenia,Decreased HbO2,Labs (Increased BT),Hematopoietic drugs ; Transfusion ; Surgery,,,,
Hematology,HIT (Heparin induced TCP),Heparin platelet 4? Procoagulant release,Females ; LMWH’s,Skin necrosis ; Systemic reaction (Fever ; chills ; Tachycardia ; Hypertension ; Dyspnea) ; Limb ischemia & infarction,DVT ; Visceral hemorrhage & infarction,3T’s ? TCP ; Timing  (5-10 days after heparin exposure) ; Thrombosis ; SRA (Serotonin release assay),Meds (DTI’s),,,,
Hematology,ITP (Immune TCP purpura),Gp 2b/3a defect ; Immune complexes,,Petechiae ; Hemorrhages ; Lymphadenopathy ; Hepatosplenomegaly,,PBS (Increased megakaroycytes) ; Labs (Increased BT ; PT ; aPTT) ; Diagnosis of exclusion,Corticosteroids ; Rituximab ; Splenectomy,,,,
Hematology,TTP (Thrombotic TCP),vWF deficiency (ADAMTS13),Pregnancy ; Autoimmune diseases ; African descent,FATRN (Fever ; Anemia ; TCP ; Renal dysfunction ; Neurological  abnor malities),Organ damage,PBS (Schistocytes & Spherocytes) ; RFT (Azotemia),Meds (Gluco corticoids & MAb) & Transfusion,,,,
Hematology,HUS (Hemolytic uremic syndrome),E.Coli strain (Shiga-Like toxin),Children,Triad (Renal failure ; TCP ; MAHA),,Labs (TCP ; MAHA) ; PBS (Schistocytes) ; Serology (Shiga toxin),Supportive care,,,,
Hematology,Hemophilia,Factors 8(A) ; 9(B) & 11©,Males,Bleeding,,Labs (Normal PT ; Elevated aPTT) ; Genetic testing ,Desmo pressin & Factor 8,,,,
Hematology,Von-wilebrand disease,Factor 8 deficiency,,Bleeding,,Labs (Increased BT ; PT & aPTT) ; PBS (Normal platelet count ; Decreased factor 8),Desmo pressin & Factor 9,,,,
Hematology,DIC (Dissemi nated intravascular coagulation),STOP MAKING NEW THROMBI (Sepsis ; Trauma ; Obstetric complications; Pancreatitis ; Malignancy ; Nephrotic syndrome),,Bleeding ; Thromboembolism ; Infarctions ; Hypoxia,,Labs (Increased PT ; aPTT ; D-Dimers & Decreased Platelets ; Fibrinogen & Clotting factors) ; PBS (Schistocytes),Supportive care,,,,
Hematology,IM (Infectious mono nucleosis),Kissing disease,Unprotected Sex,Triad (Fever ; Lymphadenpathy ; Pharyngitis) ; Malaise ; HSM ; Rash ; Myalgia,Systemic complications,Monospot test + ; Lymphocytosis ; ELISA & PCR,Supportive care,,,,
Hematology,CML,9;22  mutation ; BCR-ABL gene,Age & Radiation exposure,HSM ; Lymphadenopathy ; Recurrent infections ; Bleeding,Blast crisis,Genetic testing ; PBS(Granulocytosis),Tyrosine kinase (-) ; Surgery,,,,
Hematology,Polycythemia vera,Increased stem cell precursors ; Hyperkinetic circulation,JAK2 mutation,Thrombosis ; Bleeding ; HSM ; Fever ; Headache ; Pruritus ; Hypertension,Thormboembolic events,Genetic testing ; PBS(Increased cell count),Meds (Aspirin ; Hydroxyurea; IFN) & Phlebotomy,,,,
Hematology,Essential thrombo cythemia,Increased platelet count,,Thromobosis ; Easy bruising ; Bleeding ; TIA,Infections ; Hemorrhage ; Malignancy ; Autoimmune diseases,Increased mega karyocytes & fibrosis,Supportive care,,,,
Hematology,Primary myelofibrosis,Neoplastic stem cell proliferation,,Anemia ; HSM ; Bleeding ; Jaundice ; Lymphadenopathy ; Bone apin,,CBC (Dcreased RBC & Increased WBC & Platelets) ; PBS (LEBR),Supportive care,,,,
Hematology,AML (Acute myelogenous leukemia),Neoplastic stem cell proliferation,Old age & Myelo proliferative disorders,Pancytopenia ; HSM ; Lymphadenopathy ; Headaches ; Bleeding ; Bone pains,DIC,Increased myeloblasts & Auer rods ; Increased cell count (CBC),Bone marrow transplant & Vitamin A supplemen tation,,,,
Hematology,Myelo dysplasic syndromes,Old age; Radiation exposure & Genetic defects,,A symptomatic & Pancyto penia,Blast crisis,Dysplastic cells,Meds (TNF [-]) ; Transfusion,,,,
Hematology,ALL (Acute lympho blastic leukemia),Neoplastic stem cell proliferation,Young age & Down syndrome,Pancyto penia ; Bone marrow ; HSM ; Lymph adenopathy ; Meningitis & Thymus palpation,,Labs (Increased WBC & Lymphoblasts) ; Smear (“Starry sky appearance”),Meds (Tyrosine kinase [-] & Chemo therapy),,,,
Hematology,CLL (Chronic lymphocytic leukemia),BTK (Bruton’s tyrosine kinase) mutation,Adults & Agent orange exposure,Pancyto penia ; Bone marrow ; HSM ; Lymph adenopathy ; Meningitis & Thymus palpation,AIHA & Richter syndrome,Smear (Smudge cells) ; Immuno phenotyping,Surgery & Chemo-radiotherapy,,,,
Hematology,Burkitt’s lymphoma,Myc (8;14) mutation,Adults & Children,African (Lump in the jaw) & American (GI & pelvic pain) variants ; Cytokine release ,,Imaging & Biopsy (“Starry-Sky appearance”),Rituximab (CD20 analogue),,,,
Hematology,MALToma,H.Pylori,Adults & Children,Extranodal site (Stomach? Common),,Imaging & Biopsy ,Rituximab (CD20 analogue),,,,
Hematology,Mantle cell lymphoma,BCL-1 (11;14) mutation,Adults & Children,Extranodal site (Stomach? Common),,Imaging & Biopsy ,Rituximab (CD20 analogue),,,,
Hematology,Hairy cell leukemia,,Adults & Children,Extranodal site (Stomach? Common),,Imaging & Biopsy (Hairy cells? TRAP [Tartarate resistant acid phospha tase] stain),Cladribine & Pentostatin,,,,
Hematology,Mycosis fungoides/ Sezary syndrome,,,Pautreir’s abscess ; Skin plaques,,Smear (Sezary cells),,,,,
Hematology,Adult T cell lymphoma,HTLV-1 infection,,Extranodal site (Stomach? Common),,Smear (Flower cells),,,,,
Hematology,Hodgkin’s lymphoma,,Binodal age distribution (15-30 years) ? Adults & Children ; Alcoholism,Consti tutional B symptoms ? Fever ; Malise ; Fatigue ; Headache ; Lymphadenopathy ; Weight gain ; Night sweats,Challenging prognosis,Biopsy (Reed-Stenberg cells ; Types? Lymphocyte rich ; Nodular sclerosis [Collagen bands & Macro phages] ; Mixed-cellularity [Histiocytes ; Plasma cells ; Neutrophils ; Eosinophils] ; Lymphocyte-depletion [Diffuse fibrosis],ABVD (Adreomycin ; Bleomycin ; Vincristine & Decarbazine),,,,
Hematology,MM (Multiple myeloma),Elevated Bence-Jones proteins ; 14;11 mutation,Alcoholism ; Obesity ; Radiation exposure,CRAB (Calcium elevated ; Renal disease ; Anemia ; Bone lesions),Primary amyloidosis ; Infections & Hyper viscosity syndrome,Imaging & Biopsy (Binucleate cells ; Myeloma cells ; Myeloid cells) ; CBC (Pan cytopenia) ; Serology (Bence-Jones proteins) ; Imaging (“Punched out bone lytic lesions” on X-Ray),Meds (Immuno supressants ; Chemo therapy ; ABX ; Gluco corticoids ; Bisphospho nates),,,,
Hematology,Waldenstorm macro globulinemia,CXCR4 mutation,Autoimmune diseases ; HIV ; Hepatitis,HSM ; Lymphadenopathy ; Hyper viscosity syndrome (Retinopathy; Neuropathy ; Bleeding),Raynaud pheno menon & Amyloidosis,Imaging,Chemo therapy,,,,
Hematology,MGUS (Monoclnal gammopathy of undetermine significance),14;11 chromosome mutation,Male & Agent orange exposure,Hyper sensitivity & Neuropathy,MM ; DVT & Infections,Biopsy (Hyper cellularity),Supportive care,,,,
Hematology,LCH (Langerhans cells histiocytosis),Osteolytic bone lesions with metastases,Children & BRAF mutation,Muco cutaneous lesions ; Diss eminated infection ; HSM ; Lymph adenopathy,Visceral lesions,Imaging & Biopsy (Langerhans cells? S-100 stain),Surgery ; Chemo-radiotherapy,,,,
Vascular,Arterio sclerosis,Types? Senile ; Hyper tensive ; Monckeberg ; Athero sclerosis,Modifiable (Dyslipidemia ; Hypertension ; Addictions) & Non-Modifiable (Age ; Sex ; Genetics),Visceral vessel ischemia,Challenging prognosis,Biopsy,Lifestyle modifications,,,,
Vascular,PAN (Polyarteritis nodosa),Vessel wall deposits ? PMN deposits? Vessel wall necrosis,Male ; Active hepatitis B & Drugs,Flu-Like illness & End-Arterial damage,Challenging prognosis,Mesenteric angiogram (“Beads on a string” appearance) ; Labs (HCV ; HBV ; Muscle enzymes ; Urine analysis) ; Physical exam (Motor weakness),Meds (Cortico steroids ; Cyclophosphamide),,,,
Vascular,Wegener’s granuloma tosis,c-ANCA bind to proteinase 3? Vessel wall damage,Middle-Aged males,Triad? Necrotizing vasculiitis ; Granulomas ; GN,,CXR (Nodules & Infiltrates) ; Labs (c-ANCA (+) ; Hematuria & TCP) ; Sinusitis & Pus discharge,Meds (Cortico steroids ; Cyclophosphamide),,,,
Vascular,Temporal arteritis,“Temporal branch of carotid artery”,Female & Polymyalgia rheumatica,Jaw claudication ; Vision loss ; Carotid bruits ; Decreased pulses ; Aortic regurgitation,Irreversible blindness,Labs (Elevated ESR) & Biopsy,,,,,
Vascular,Takayasu arteritis (Pulseless disease),Microbes (Spirochetes ; M.TB ; Streptococci),Female & Asian,Weak/Absent pulse ; Ocular hemorrhage & Flu-like illness,Limb ischemia ; Aortic aneurysm ; Secondary hypertension due to renal artery stenosis,Labs (Elevated ESR) & Biopsy,,,,,
Vascular,Kawasaki disease (Muco cutaneous lymph syndrome),,Asian male,CRASH ‘n’ BURN (Conjunctivitis ; Polymorphous rash ; Cervical lymphadenopathy ; Strawberry tongue ; HFM ; Fever),MI ; Arrythmias ; CHD ; PAD,CXR (Cardio megaly) ; EKG ; Labs (Elevated ESR & CRP) ; ECG (P-R & Q-T interval prolongation),Meds (IVIg ; Aspirin),,,,
Vascular,Buerger’s disease,Non-Athero sclerotic ; Segmental & Inflammatory disease? Auto amputation,<45 yrs old & Tobacco use,Raynaud phenomenon ; DVT ; Hyper sensitivity ,,Angiogram (Collateralization of diseased vessels) ; Lab  (ESR; CRP),Smoking cessation,,,,
Vascular,Raynaud’s phenomenon,Arteriolar vasospasms; stress ; low temperature & Addictions,,3 phases ? Ischemia ; Hypoxia & Hyperemia ; Reactive hyperemia (Swelling ; numbmess ; tingling & pain),Ulceration & Gangrene,Nailfold capillary microscopy,CCB’s & Nitrates,,,,
Vascular,DVT,Virchow’s triad ? PHD (Prolonged im moblilzation ; Hyper coagulability & Damaged endothelium),Immobility ; Obesity & Increased Oestrogen levels,Pain ; Edema ; Pruritus & Generalized hyper pigmentation,,Doppler ultrasound ; Venography & Labs (Elevated D-Dimer),Meds (Anti coagulants),,,,
CVS,Heart failure,Ejection fraction (Decreased? Increased afterload ; Decreased heart contraction & blood supply ; reserved? Restrictive CMP) ,Age ; Cardiac diseases & Addictions,High-filling pressure (Pulmonary edema ; dyspnea; Orthopnea ; Crackles ; Tachypnea ; JVD etc.) ; Low CO (Tachycardia ; Decreased PP ; urine output & appetite) ,Cardiogenic shock & End-organ damage,Imaging ; Doppler ultrasound & Right heart catheter ization,Anti-hypertensive & Acute de compen sation (POND? Positive airway pressure ; O2 ; Nitrates & Diuretics),,,,
CVS,IHD,CHD ; Arrythmias ; Hypertension ; CMP,Addictions,Chest pain (Radiates) ; Dyspnea ; Diaphoresis ; Fatigue ; Nausea & Epigastric pain ; Levine’s sign (Clenched fist on the chest) ,,ECG (T wave inversion & ST depression),NSAID’s ; Statins ; Beta blockers & Nitrates,,,,
CVS,CMP,Dilated(ID BIG MAPS (Idiopathic ; Drugs (Doxorubicin/Cocaine) ; Beriberi ; Infection ; Genetic ; Myocarditis ; Alcohloism ;  Peripartum CMP ; Sarcoidosis) ;  Hypertrophic (Friedrich ataxia & Dcreased Left ventricular outflow tract) ; Restrictive (Infiltrative diseases),Alcoholism ,Chest pain ; Auscultatory findings (Holosystolic murmur & S3 sound),Systolic heart failure (Dilated) ; Diastolic heart failure (Restrictive) ; Arrythmias (Hyper trophic),X-Ray (Cardio megaly) & ECG (Ventricular dilatation & Reduced ejection fraction),Anti hyper tensives & LVAD ,,,,
CVS,Pericarditis,Idiopathic ; Viral infections (Coxsackie B) ; HUS & Dressler’s syndrome,Autoimmune diseases ; Surgery & Cancer,Fever ; Sharp pain & Pericarditis rub  (Loud on left sternal border),Constricitve pericarditis & Pericardial effusion ,X-Ray & ECG (PSPPS? Pericarditis ; Precordial leads ; P-R depression & S-T elevation),Meds (NSAID’s ; Glucorticoids & Colchicine) & Pericardio centesis ,,,,
CVS,Cardiac tumors,Primary (Rare? Adults [Myxomas] & Children [Rhabdomyoma]) & Secondary (Metastasis to viscera & Hemo lymphatic spread),,Asymptomatic ; Dyspnea ; Syncope ; Dizziness ; Chest pain & “Tumor plop sound” (Left atrial myxoma),Heart disease,Imaging,Surgery,,,,
Respiratory ,RDS,Systemic infections ; Acute lung injury ; Gastric contents aspiration ; Pneumonia ; Burns & Inflammation,,Dyspnea ; Tachypnea ; Tachycardia ; Diaphoresis ; Ausculation (Lung crackles),,CXR (Bronchoalveolar infiltrate & pulmonary oedema) ; CT (Bilateral airspace opacities) & Ultrasound (Subpleural consoli dations),ABX & Diuretics,,,,
Respiratory ,Pulmonary hypertension,Aftereffects (Hypertrophy ? Decreased O2 demand ? RHF) & Cor pulmonale ,Immuno deficiency & COPD,Lung congestion ; Tachycardia ; Cyanosis ; JVD ; Ascites & Lower-Leg edema,,CXR (Enlarged pulmonary arteries) ; EKG (Left ventricular hypertrophy) ; ECG (T-wave inversion) & Spirometry,Meds (Diuretics ; Digoxin ; Anti coagulants ; Smooth muscle relaxants) & Surgery (Lung transplant) ,,,,
Respiratory ,Pneumonia,Microbes (Streptococci ; Staphylococci ; RSV),Age ; Addictions & Malnutrition,Fever & Lung symptoms & Auscultation (Crepitation on palpitation & Dullness on percussion),Meningitis & Pleural effusions,X-ray & Urine culture (Strep.Pneumoniae +),Supportive care,,,,
Respiratory ,COPD,Smoking ; Allergy ; Viral infections & Air pollution,CRPD & CF,Hypoxemia ; Hypercapnia & Wheezles,Cor pulmonale & Pulmonary hypertension,CXR ; Labs (RAc) & Spirometry ,Supportive care,,,,
Respiratory ,CRPD,Old age ; Dust exposure ; TB history ,,Lung conditions,,,Supportive care,,,,
Respiratory ,Lung carcinoma,Smoking history (Strong correlation ? SCC),,Cough ; Hemoptysis ; Hoarseness ; Chest pain ; Weight loss & Neuropathy,,FNAC (Pleomorphic cells),Surgery & Chemo-radiotherapy,,,,
Respiratory ,Mesothelioma,Asbestos exposure,,Angina ; Dyspnea ; Pleural effusions ; Hemoptysis ; Cough & Weight loss,,Imaging & Biopsy (Calretinin staining ; Fried-egg appearance),Surgery & Chemo-radiotherapy,,,,
GIT,Oral carcinoma,,PATH LAB (Plummer-Vinson syndrome ; Alcohol ; Tobacco ; HPV ; Leukoplakia ; Asbestos & Bad oral hygeine),A symptomatic ; Pain ; Burning sensation ; Lymph adenopathy & Palpable lump,,Imaging & Biopsy ,Surgery & Chemo-radiotherapy,,,,
,Warthin’s tumor (Papillary cystadenoma lymphoma tosum),,Smoking ; Age & Caucasian,Painless mass near mandibular angle,Malignancy,FNAC,Surgery,,,,
,TEF,VACTERL (Vertebral anomalies ; Anal atresia ; CVS anomalies ; TEF ; Esophageal atresia ; Renal anomalies & Limb defects),,3C’s (Cough ; Choaking ; Cyanosis) ; Aspiration pneumonia ; Hypersalivation & Vomiting,Atresia,Imaging & Barium swallow (NG tube & NPO),Surgery,,,,
,Achalasia,Auerbach plexus loss ? Oesophageal dysmotility ; Chagas disease & Malignancy,,GERD ; Dysphagia ; Weight loss ; Cough [Aspiration pneumonia],Increased SCC risk,Barium meal X-ray (Bird’s beak appearance) ; Endoscopy ; Biopsy (Muscular hypertrophy) & Esophageal manometry,Meds (CCB’s ; PPI’s ; Anti cholinergics ; Nitrates) & Surgery,,,,
,Barret Oesophagus ,Oesophageal metaplasia (Squamous? Columnar),Bulimia ; Addictions & Obesity,A symptomatic & GERD,Increased Esophagal adeno carcinoma risk,EPGDS (Esophagogastroduodenoscopy) & Biopsy,Meds (PPI’s & NSAID’s) & Surgery,,,,
,HPS (Hypertrohic pyloric stenosis),Pyloric sphincter hypertrophy ? Narrowing of lumen,Newborn males & Macrolide exposure,“Forceful progressive projectile vomiting” ; Peristalsis ; Dehydration & Weight loss,Hypokalemic Hypo chloremic Mal,Imaging & Electrolyte studies,Surgery (Pyloromyo tomy),,,,
,PUD,Increased acid secretion ? Epithelial erosion,H.Pylori infections ; Stress ; Addictions ; Diseases (COPD) etc.,Gastric ulcer (Epigastric pain NOT relieved by eating ; Weight loss ; Melena ; Hematemesis ; NO SEASONAL VARIATION),,Imaging,Meds (PPI’s) & Surgery,,,,
,Gastric carcinoma,H.Pylori,Lifestyle problems,A symptomatic ; Epigastric pain ; Progressive GI distress & Constitutional symptoms (Fever; Fatigue ; malaise & Weight loss) ,Paraneoplastic syndromes (Trosseau syndrome ; Leser-Trelat sign [Seborrheic keratosis] ; PAN & Pseudoachalasia syndrome),Physical exam (Enlarged Supraclavicular/Virchow’s node) ; EPGDS & Biopsy,Surgery & Chemo-radiotherapy,,,,
,IBD (Crohn’s disease & Ulcerative colitis),Genetics (HLA DR3 & DR4 ; CARD 15 mutations) ; Environmental factors (Psychological factors ; Addictions & Drugs [NSAID’s & OCP’s]) ; Deranged microbiota (E.Coli ; M.Para TB ; Salmonella etc.) & Immune dysregulation (CD4 & CD8 functioning),,Crohn’s disease (Fissures ; Fistula ; Perianal disease ; Granulomas ; Skip lesions ; Transmural inflammation ; Rectal sparing ; Cobblestone mucosa & Creepy fat) & Ulcerative colitis (Friable pseudopolyps ; Haustral fold loss ; Crypt abscesses & Stepwise lesions),,Barium meal X-ray (CD? String sign ; UC? Lead pipe appearance) ; Endoscopy & Biopsy,Surgery (UC) ; ABX ; NSAID’s etc.,,,,
,Appendicitis,Fecalith obstruction ; Pinworms; tumors & Lymphoid hyperplasia,Males ; CF ; 10-30yr age,Fever ; Anorexia ; GI distress ; Abdominal tenderness & Guarding ,Metastasis & Peri appendical abscess,Imaging ; Labs (Elevated WBC & Bilirubin) & Physcial exam (Mc burney’s point ; Psoas & Obturator sign +),ABX & Surgery,,,,
,HNPCC/ Lynch syndrome,Polyp formation ? Adeno carcinoma,Lifestyle problems ; Genetic mutations (Mutational pathway ? APC & Beta-Catenin ; Microsatellite pathway ? Defective DNA repair) ; Comorbidites ; Low socio economic status),A symptomatic ; GI distress ; Fatigue ; Anorexia & Weight loss,Fe deficiency anemia & Bowel obstruction ,Imaging ; Labs (Elevated CEA) & Fecal occult blood test (+),Surgery & Chemo-radiotherapy,,,,
,Budd-Chiari syndrome,Hepatic blood flow obstruction ? Portal hypertension,Hematologic disorders ; Hyper coagulative states ; Infections etc.,Triad? Hepato megaly ; Abdominal pain & Ascites ; Jaundice ; Fever ; Spleno megaly & Encephalo pathy,Hepatorenal syndrome & Liver cirrhosis,Imaging (Doppler ultrasound ? Telangiectasias/Spider web lesions) & Labs (Elevated liver enzymes),Meds (Anti-coagulants & Diuretics) & Surgery,,,,
,Liver cirrhosis,Fatty liver,GSD ; Malnutrition ; Obesity etc.,Fatigue ; malaise ; dull RUQ pain ; Hepato megaly & Ascites,HCC,Imaging ; Labs (Moderately elevated liver enzymes) ; Serology (Hepatitis A ; B & C sAg),Underlying cause,,,,
,Biliary cirrhosis,Destruction of bile-duct lining? Bile-contents leakage ? Inflammation & fibrosis ? Cirrhosis,Female & Autoimmune hepatitis,Fatigue ; Pruritus ; RUQ pain ; Fractures ; Hypercholestrolemia ; Crrihosis (Ascites ; Splenomegaly ; Esophageal varices & Hepatic encephalopathy),Osteoporosis ; Hyperlipidemia & Fat malabsorbtion,Imaging ; Labs (Elevated IgM ; Liver enzymes ; HDL & Anti-mitochondrial Ab’s) & Biopsy,Meds (Ursodeoxycholic acid ; Bile resins & Modafinil),,,,
,Portal hypertension,Pre-Hepatic (Portal venous thrombosis) ; Hepatic (Cirrhosis & Schisto somiasis) ; Post-Hepatic (RHF & Budd-Chiari syndrome),,ABCDE (Ascites ; Bleeding ; Caput medusae ; Diminished liver & Enlarged spleen) ; Jaundice & Encephalo pathy (MR ; Lethargy ; Asterixis ; Seizures ; Coma & Death),Bacterial perotinitis,Imaging & Labs (CBC & Liver enzymes),Meds (Beta-Blockers ; Diuretics & IV Octreotide) & Surgery (TJIS),,,,
,HCC,Drugs (SERM’s ; OCP’s) & GSD’s,Metabolic syndrome,A symptomatic ; Abdominal pain (RUQ/Epi gastric pain); Adenoma bleeding (Hypo tension ; Tachycardia & Diaphoresis),Malignancy,Imaging & Biopsy ,Surgery & Supportive care,,,,
,Choles lithiasis,Abnormal bile levels,Obesity & Weight loss,6F’s (Female ; Fair ; Fertile ; Flatulence ; Fat ; >40 yrs),Cholecystitis & Cancer,Imaging & Labs (Elevated liver enzymes & Bilirubin),Surgery & Extra-corporeal shock wave lithotripsy,,,,
,Cholecystitis,Fatty meal ; Stones & Infections,,Midepigastric pain (Radiating) & GI distress,Gallbladder ischemia & Bacterial perotinitis,Imaging & Labs (Elevated WBC & Liver enzymes) ; Physical exam (Murphy sign [+] ? On gallbladder palpation ; respiration stops),ABX & Surgery,,,,
